Price,Built_Year,Apt_Type,Heating,Cooling,Parking,Address,Bedrooms,Bath_Spaces,Area,Zestimate,zip_code,city
1195000,1989,Single Family,Forced air,None,2 spaces,"116 Mountain Rd,  South San Francisco, CA 94080",3,3,1580,1304120,94080,South San Francisco
1188000,1955,Single Family,Forced air,None,Attached Garage,"617 Joaquin Dr,  South San Francisco, CA 94080",3,2,1540,1264270,94080,South San Francisco
928000,1944,Single Family,Forced air,None,Attached Garage,"224 Village Way,  South San Francisco, CA 94080",3,2,1699,1034580,94080,South San Francisco
1095000,1955,Single Family,Forced air,None,Attached Garage,"376 Avalon Dr,  South San Francisco, CA 94080",4,2,1650,1237270,94080,South San Francisco
888000,1944,Single Family,Forced air,None,1 space,"742 W Orange Ave,  South San Francisco, CA 94080",2,1,1000,968716,94080,South San Francisco
788888,1979,Condo,Other,None,1 space,"1 Appian Way UNIT 704-6,  South San Francisco, CA 94080",3,2,1473,675522,94080,South San Francisco
599000,1979,Condo,None,Other,1 space,"3550 Carter Dr APT 41,  South San Francisco, CA 94080",2,2,877,662776,94080,South San Francisco
1550000,1993,Single Family,Forced air,None,6 spaces,"123 Lucca Dr,  South San Francisco, CA 94080",5,3,2680,1610858,94080,South San Francisco
1500000,2004,Single Family,Forced air,Central,Attached Garage,"28 Mandalay Pl,  South San Francisco, CA 94080",4,2.5,2500,1559199,94080,South San Francisco
950000,1944,Single Family,Forced air,None,1 space,"618 Mayfair Ave,  South San Francisco, CA 94080",3,1,1000,1038202,94080,South San Francisco
159000,1972,Mobile / Manufactured,None,None,No Data,"1700 El Camino Real SPC 18-1,  South San Francisco, CA 94080",2,1,600,170336,94080,South San Francisco
799000,1979,Condo,Forced air,Central,Attached Garage,"766 Stonegate Dr,  South San Francisco, CA 94080",2,1.5,1080,873400,94080,South San Francisco
1399000,1953,Single Family,Forced air,None,Attached Garage,"267 Dundee Dr,  South San Francisco, CA 94080",5,3,2180,1439501,94080,South San Francisco
700000,1980,Condo,Other,None,1 space,"1107 Mission Rd APT 209,  South San Francisco, CA 94080",2,2,911,748431,94080,South San Francisco
1212666,1953,Single Family,Other,Other,Attached Garage,"107 Manzanita Ave,  South San Francisco, CA 94080",4,2,1840,1212666,94080,South San Francisco
1250000,1971,Single Family,Forced air,None,Attached Garage,"3807 Crofton Way,  South San Francisco, CA 94080",3,2,1562,1243357,94080,South San Francisco
1236135,2003,Single Family,Other,Other,Attached Garage,"7222 Shannon Park Ct,  South San Francisco, CA 94080",4,2,1920,1236135,94080,South San Francisco
