Price,Built_Year,Apt_Type,Heating,Cooling,Parking,Address,Bedrooms,Bath_Spaces,Area,Zestimate,zip_code,city
558000,1987,Condo,Forced air,Central,1 space,"2958 Flint St # 98,  Union City, CA 94587",2,2.0,919,544554,94587,Union City
958000,1990,Single Family,Forced air,None,2 spaces,"4710 Andrea Way,  Union City, CA 94587",3,3.0,1472,969586,94587,Union City
1335000,1997,Single Family,Forced air,None,2 spaces,"31358 Cape View Dr,  Union City, CA 94587",4,3.0,2415,1355227,94587,Union City
950000,1984,Single Family,Forced air,None,Attached Garage,"4500 Oakdale St,  Union City, CA 94587",3,2.0,1630,969373,94587,Union City
599000,1985,Townhouse,Forced air,Central,Carport,"241 Galano Plz,  Union City, CA 94587",3,2.0,1135,607198,94587,Union City
520000,1987,Condo,Other,None,Carport,"3029 Risdon Dr # 14,  Union City, CA 94587",1,1.0,821,520004,94587,Union City
1148000,1999,Single Family,Forced air,Central,Attached Garage,"105 Cascades Cir,  Union City, CA 94587",5,4.0,2320,1158883,94587,Union City
950000,1964,Single Family,Forced air,Central,2 spaces,"33803 Washington Ave,  Union City, CA 94587",4,2.0,1740,976550,94587,Union City
1175000,2002,Single Family,Forced air,Central,2 spaces,"34495 Jasmine Ct,  Union City, CA 94587",5,3.0,2257,1191745,94587,Union City
879000,1971,Single Family,Forced air,None,2 spaces,"32230 Coronation Dr,  Union City, CA 94587",4,2.0,1684,898649,94587,Union City
1140000,1998,Single Family,Forced air,None,2 spaces,"30761 Oxford Way,  Union City, CA 94587",5,3.0,2308,1159466,94587,Union City
935000,1977,Single Family,Forced air,Central,2 spaces,"3306 San Carlos Way,  Union City, CA 94587",3,2.0,1306,959467,94587,Union City
1450000,2000,Single Family,None,Other,Attached Garage,"33769 Heritage Ct,  Union City, CA 94587",5,4.0,2976,1529599,94587,Union City
1248000,1995,Single Family,Forced air,Central,2 spaces,"2837 Montair Way,  Union City, CA 94587",5,3.0,2487,1269704,94587,Union City
620000,2001,Condo,Other,Other,1 space,"35550 Monterra Ter APT 202,  Union City, CA 94587",2,2.0,1022,636720,94587,Union City
1225000,1946,Multi Family,Other,Other,4 spaces,"33217 4th St,  Union City, CA 94587",5,3.0,2494,1259785,94587,Union City
555000,1987,Condo,Forced air,None,Carport,"3020 Flint St # 65,  Union City, CA 94587",2,2.0,943,559092,94587,Union City
319000,2020,Mobile / Manufactured,None,Other,No Data,"411 Fiji Cir,  Union City, CA 94587",3,2.0,1540,326409,94587,Union City
979000,1919,Single Family,Forced air,Other,On street,"33631 9th St,  Union City, CA 94587",3,2.0,1154,996785,94587,Union City
1605904,2004,Condo,None,Other,Detached Garage,"33030 Garfinkle St,  Union City, CA 94587",5,4.5,3642,1605904,94587,Union City
1044678,1990,Single Family,None,Other,Detached Garage,"4765 Randi Ct,  Union City, CA 94587",4,2.5,1683,1044678,94587,Union City
649900,1971,Townhouse,None,Other,2 spaces,"4210 Saturn Way,  Union City, CA 94587",4,2.0,1342,619174,94587,Union City
805805,1971,Single Family,Forced air,None,Attached Garage,"2579 Maraschino Ct,  Union City, CA 94587",4,2.0,1888,805805,94587,Union City
1276765,1994,Single Family,None,Other,Detached Garage,"32406 Monterey Dr,  Union City, CA 94587",4,2.5,2310,1276765,94587,Union City
520065,1930,Single Family,None,Other,No Data,"33331 4th St,  Union City, CA 94587",2,1.0,680,520065,94587,Union City
1416330,1996,Single Family,Forced air,Central,3 spaces,"4617 Maritime Loop,  Union City, CA 94587",5,3.0,2797,1416330,94587,Union City
1049950,1968,Single Family,Forced air,None,Attached Garage,"3170 San Angelo Way,  Union City, CA 94587",6,3.0,1955,1066525,94587,Union City
852480,1985,Single Family,None,Other,Detached Garage,"1609 Sherman Dr,  Union City, CA 94587",4,2.5,1564,852480,94587,Union City
1161116,1993,Single Family,None,Other,Detached Garage,"2977 Miraloma Way,  Union City, CA 94587",4,3.0,2357,1161116,94587,Union City
859997,1960,Single Family,None,Other,Attached Garage,"1936 Hartnell St,  Union City, CA 94587",4,2.0,1801,859997,94587,Union City
1199000,1995,Single Family,Forced air,Central,3 spaces,"50 Victory Ct,  San Ramon, CA 94582",4,3.0,2359,1181004,94582,San Ramon
999900,1980,Single Family,Forced air,Central,2 spaces,"100 Monasterio Ct,  San Ramon, CA 94583",4,3.0,1704,962737,94583,San Ramon
365000,1988,Condo,None,Other,Attached Garage,"120 Reflections Dr APT 22,  San Ramon, CA 94583",1,1.0,474,368864,94583,San Ramon
785000,1971,Single Family,Forced air,Central,2 spaces,"91 Casa Grande Pl,  San Ramon, CA 94583",2,1.0,805,768651,94583,San Ramon
1899800,2000,Single Family,Forced air,Central,2 spaces,"4012 Lilac Ridge Rd,  San Ramon, CA 94582",4,4.0,3798,1764743,94582,San Ramon
890000,2005,Townhouse,Forced air,Central,2 spaces,"1831 Cedarwood Loop,  San Ramon, CA 94582",4,3.0,1692,915132,94582,San Ramon
1370000,1962,Single Family,Forced air,Central,2 spaces,"9599 Belle Meade Dr,  San Ramon, CA 94583",5,3.0,2955,1026785,94583,San Ramon
1049900,1977,Single Family,Forced air,Central,3 spaces,"9741 Thunderbird Dr,  San Ramon, CA 94583",4,2.0,2112,1169074,94583,San Ramon
1145000,1992,Single Family,Forced air,Central,2 spaces,"501 Saddle Creek Ct,  San Ramon, CA 94582",4,3.0,2310,1111188,94582,San Ramon
618000,1988,Condo,None,Other,2 spaces,"3841 Crow Canyon Rd,  San Ramon, CA 94582",2,2.0,1107,592739,94582,San Ramon
649000,1972,Townhouse,Forced air,Central,2 spaces,"2561 Fountainhead Dr,  San Ramon, CA 94583",3,2.0,1276,664384,94583,San Ramon
1325000,2016,Single Family,None,Other,2 spaces,"2028 Trefoil Rd,  San Ramon, CA 94583",4,4.0,2534,1290159,94583,San Ramon
1099000,2017,Miscellaneous,None,Other,2 spaces,"5104 Rowan Dr,  San Ramon, CA 94582",4,4.0,2152,1042778,94582,San Ramon
459000,1963,Condo,Forced air,Central,Carport,"9090 Craydon Cir,  San Ramon, CA 94583",2,1.0,780,485799,94583,San Ramon
1375000,2003,Single Family,Forced air,Central,3 spaces,"300 Rothbury Way,  San Ramon, CA 94582",4,3.0,3282,1365673,94582,San Ramon
